,Alcohol,Energy Drinks,Social Media,Tobacco & Nicotine,Gaming,Quick Service Restaurants
Alcohol,1.0,0.5842874515708469,0.3183536296186002,0.41477641710517976,0.31179993615665136,0.6109363658045671
Energy Drinks,0.5842874515708469,1.0,0.29033222902953465,0.32542419503213715,0.3363847016745828,0.544477203579351
Social Media,0.3183536296186002,0.29033222902953465,1.0,0.20844126726273485,0.45139556475707776,0.3815847634039678
Tobacco & Nicotine,0.41477641710517976,0.32542419503213715,0.20844126726273485,1.0,0.1900512264076701,0.28912952722636914
Gaming,0.31179993615665136,0.3363847016745828,0.45139556475707776,0.1900512264076701,1.0,0.35787957149280825
Quick Service Restaurants,0.6109363658045671,0.544477203579351,0.3815847634039678,0.28912952722636914,0.35787957149280825,1.0
