Strategy,Initial Value ($),Final Value ($),Return Amount ($),Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta,Alpha,Tracking Error,Information Ratio,Turnover,Net CAGR
Max Sharpe,10000.0,24400.54,14400.54,1.4400541144886945,0.16072416630286934,0.21584012414070905,0.6114071657505856,0.5406616298200666,-0.3332681145738243,0.48226685744719305,0.8346518714084049,0.035658065639832995,0.15368334743420803,0.10787772530497108,0.2931830203710297,0.1601378002621273
Equal Weight,10000.0,23932.92,13932.92,1.3932915976715408,0.15697736411561913,0.15785950003570526,0.7463847231300831,0.6814136964025843,-0.2522425824666549,0.622326978183276,0.7004577508219413,0.03700006861480329,0.1056478563551772,0.023064647916202104,0.0,0.15697736411561913
Maximum Diversification,10000.0,23252.84,13252.84,1.3252835428051122,0.1514179507807989,0.1619179765428613,0.7017703121661517,0.6574324388845347,-0.25485996958024915,0.5941221409944534,0.6245366192560292,0.041565704259058284,0.1329286471295779,-0.013224836871773105,0.11975899697549339,0.1511784327868479
SPY,10000.0,22906.36,12906.36,1.2906358717955007,0.1485333715716337,0.18524804369922898,0.6228793908615501,0.5429696598305112,-0.2864477040752975,0.5185357377924358,1.0,0.0,0.0,,0.0,0.1485333715716337
Risk Parity,10000.0,20880.27,10880.27,1.0880272224646168,0.1308980000070803,0.15244106293984652,0.6184014570979379,0.5519744416403121,-0.2557532312682319,0.5118136703805535,0.6815688796188959,0.015625458575040288,0.10381010608684475,-0.20342348129809015,0.03076177056653487,0.13083647646594723
Inverse Volatility,10000.0,20075.98,10075.98,1.0075975456110942,0.12349988501952325,0.1533181802199151,0.5730790864213305,0.513266832479354,-0.26072429865645097,0.4736799970541125,0.7009611776192788,0.006981503036590356,0.09855840986682589,-0.2792632917135164,0.019800244725773644,0.1234602845300717
Hierarchical Risk Parity,10000.0,17633.72,7633.72,0.7633719192966888,0.0994123742135995,0.15405063695989635,0.4308692577689638,0.38349314301738174,-0.2718580336274896,0.3656775298750898,0.6994901954990872,-0.014336523518517094,0.1001990689907875,-0.48914132142713984,0.12151974628249182,0.09916933472103451
Minimum Variance,10000.0,15266.69,5266.69,0.5266688703346776,0.07325072956164558,0.15536614104634278,0.2740621339920148,0.2492246649019103,-0.2742943618201903,0.2670515320678157,0.6349617549780405,-0.030686475621392574,0.12196604651528554,-0.5969465644955528,0.12704328208276655,0.07299664299748004
