rebalance_date,strategy,ticker,selected,cluster_label,trailing_pe,market_cap,available_date,value_rank,size_rank,sharpe_rank,base_score,adjusted_score
2020-01-01,Partitioning Selection,BF-B,False,0,37.77145956896173,32256826471.89331,2019-12-31,0.125,0.48,0.76,0.4425,0.4425
2020-01-01,Partitioning Selection,BTI,True,3,13.059942522218885,104090054750.06734,2019-12-31,0.8333333333333334,0.68,0.12,0.4766666666666667,0.4766666666666667
2020-01-01,Partitioning Selection,BUD,False,3,18.46536271810436,137917794141.52145,2019-12-31,0.5833333333333334,0.8,0.04,0.3116666666666667,0.3116666666666667
2020-01-01,Partitioning Selection,CELH,False,4,10.817472554958028,110889164.75526844,2019-12-31,0.9166666666666666,0.04,0.36,0.6383333333333333,0.6383333333333333
2020-01-01,Partitioning Selection,CMG,True,4,1.5022965708231844,465352888.0747605,2019-12-31,1.0,0.08,1.0,1.0,1.0
2020-01-01,Partitioning Selection,DEO,False,2,25.26540247669713,109157049391.45515,2019-12-31,0.5,0.72,0.72,0.61,0.61
2020-01-01,Partitioning Selection,DPZ,True,0,31.370714371195238,12015736501.312683,2019-12-31,0.25,0.2,0.88,0.565,0.565
2020-01-01,Partitioning Selection,EA,True,1,11.431410392072106,31390652936.63,2019-12-31,0.875,0.44,0.28,0.5775,0.5775
2020-01-01,Partitioning Selection,GOOGL,True,1,3.654211638331771,46269627764.556885,2019-12-31,0.9583333333333334,0.6,0.56,0.7591666666666668,0.7591666666666668
2020-01-01,Partitioning Selection,KDP,False,0,36.558792041915225,40726494334.69356,2019-12-31,0.16666666666666666,0.56,0.92,0.5433333333333333,0.5433333333333333
2020-01-01,Partitioning Selection,KO,False,2,30.60745885123064,237146591179.33496,2019-12-31,0.2916666666666667,0.92,0.84,0.5658333333333333,0.5658333333333333
2020-01-01,Partitioning Selection,MCD,False,2,25.35891158055921,148818772610.51172,2019-12-31,0.4583333333333333,0.84,0.6,0.5291666666666667,0.5291666666666667
2020-01-01,Partitioning Selection,META,False,2,32.75023587523587,590093750000.0,2019-12-31,0.20833333333333334,0.96,0.44,0.32416666666666666,0.32416666666666666
2020-01-01,Partitioning Selection,MNST,False,1,15.64562550503368,17084835303.990717,2019-12-31,0.7083333333333334,0.28,0.24,0.4741666666666667,0.4741666666666667
2020-01-01,Partitioning Selection,MO,False,3,22.305787997379547,93238193829.04652,2019-12-31,0.5416666666666666,0.64,0.08,0.3108333333333333,0.3108333333333333
2020-01-01,Partitioning Selection,MSFT,True,2,29.27587050852516,1203062622677.3328,2019-12-31,0.375,1.0,0.96,0.6675,0.6675
2020-01-01,Partitioning Selection,PEP,True,2,15.36667272142982,190577475091.17264,2019-12-31,0.75,0.88,0.68,0.7150000000000001,0.7150000000000001
2020-01-01,Partitioning Selection,PM,True,3,17.701479583247355,132389365803.10696,2019-12-31,0.6666666666666666,0.76,0.2,0.43333333333333335,0.43333333333333335
2020-01-01,Partitioning Selection,QSR,True,5,29.47725183990061,18894918429.376293,2019-12-31,0.3333333333333333,0.32,0.32,0.32666666666666666,0.32666666666666666
