Date,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2020-01-03,0.010708121825045436,0.013109789543513162,0.015012565538372269,0.007452296026493666,0.005479091216573324
2020-01-10,0.013801150168491594,0.014293253896478841,0.006616170993450243,0.01862718468244995,0.01307238177233882
2020-01-17,0.011602473331811414,0.014883676289607406,0.007753955377409083,0.019364213401869668,0.002417205256662637
2020-01-24,-0.01785135447428432,-0.018912904121796692,-0.011001707000181549,-0.01800016214409894,-0.01217880358505025
2020-01-31,0.006091470468856164,0.0009473546488301121,0.0026239880418239547,-0.004525269262072862,0.019225908175907618
2020-02-07,0.001945611002753589,-0.000928191650851673,0.005527383694758692,0.008515705127513096,0.0092222604156548
2020-02-14,0.015494986435180547,0.019587259075499075,0.022697314073969688,0.03343769312063416,-0.0003260977315794533
2020-02-21,-0.08145889073530477,-0.08458998321250855,-0.08796623442515117,-0.07647527213661831,-0.11705024049976492
2020-02-28,0.005749400804286653,0.002145549568580929,0.008017311066574662,0.010597748564030285,0.016637768015855543
2020-03-06,-0.15592135981522226,-0.15444042213279674,-0.1490749226140623,-0.1430621786985664,-0.1796929956857785
2020-03-13,-0.04106440636011521,-0.06213474503723859,-0.046897113587014205,-0.06726938720205278,-0.030631727168026278
2020-03-20,0.0759607054317557,0.0684772747139133,0.10001884392833804,0.06060218559832986,0.0924119730857806
2020-03-27,-0.0049067350506393215,-0.005436117286334197,-0.008605543382387948,-0.005904083330603105,-0.03587300175480996
2020-04-03,0.08145156411532861,0.09391331516943868,0.07698382351235544,0.09330838969992783,0.10471332690197821
2020-04-10,0.019883021626006858,0.014875633912111219,0.028952156698996534,0.0198047989332224,0.003235277790140684
2020-04-17,-0.011076818389239018,-0.0075299547821635615,0.0036015630605901183,0.005197182997851435,-7.191099779724208e-05
2020-04-24,0.03536187057075102,0.04279340860740111,0.025686907208609888,0.030113095248957,0.040848682356834726
2020-05-01,0.00014372492092551425,-0.004187814902406273,-0.001064883044354259,-0.0040255871119226905,-0.009639097866697992
2020-05-08,0.014524434071018444,0.02011912040069519,0.0019802611813728443,0.03444050612734628,-0.009420065332692375
2020-05-15,0.03875000966312303,0.043950604031217644,0.031684116331679446,0.049722473193098526,0.03477546060508584
2020-05-22,0.0170086597913659,0.02021246173242841,0.0070947245477663845,0.016554947677222875,0.027434839462653727
2020-05-29,0.027327931344004464,0.02447869323380303,0.0158684758419807,0.025062016750862615,0.0276923222275846
2020-06-05,-0.016744488473963814,-0.02098556165553611,-0.019109651760229385,-0.02251903515252518,-0.034526034430359474
2020-06-12,0.03983014375748084,0.04150454836264572,0.03087520031179647,0.04543273610918663,0.03715780210318952
2020-06-19,0.003429893346128088,0.0011318536591657935,-0.00841708341003522,0.013806537501502625,-0.009870494002964062
2020-06-26,0.010139618686032303,0.006357237118304049,0.013701066916222526,0.0012361833973577596,0.015877836949171154
2020-07-03,0.028918376695159287,0.026468336286179728,0.017623348877642275,0.046655041600234926,0.006885682096664002
2020-07-10,0.015785738788858694,0.030134377691622527,0.012221222281572741,0.026334869187053078,0.02038939623219051
2020-07-17,0.013498010946661587,0.010672612139530413,-0.004780696174246035,0.020010397497323584,0.006764649612967342
2020-07-24,0.00784305529893925,0.007394209730164469,0.014551315270532994,0.009486598544417912,0.0030963056116024568
2020-07-31,0.0652677800940995,0.060834763461793395,0.02077236806503202,0.10117124059117533,0.03201007693956946
2020-08-07,-0.003667025419628156,0.004389233847712504,-0.0031022123198269913,0.004942192958063751,0.007477316190820962
2020-08-14,0.017812447334473402,0.017725645433330772,0.019198964961102627,0.027053086251092928,0.00430494732964767
2020-08-21,0.006497313876924871,-0.0006988054528395127,0.012748392909329276,-0.01514071252526683,0.029709224303933128
2020-08-28,-0.012342664640666356,-0.015006094526499036,-0.014052673184992037,-0.035026089026408136,-0.008440182567775916
2020-09-04,-0.0077193756324668295,-0.006064994631694187,-0.03195925059783977,0.006133003227481559,-0.03329551191604901
2020-09-11,0.01791891506045795,0.009845928605611176,-0.004678030848645376,0.013941148842771867,0.005840027202247622
2020-09-18,-0.0286753649356567,-0.03089078195355366,0.0023888654534269804,-0.03719506025231145,-0.03288792320868947
2020-09-25,0.03591152061831515,0.037078588870845364,0.022351965379981076,0.049639662890335945,0.041854968861906094
2020-10-02,0.00026566273249306604,-0.0017997748486024978,-0.0010635013301374396,-0.023380017342962467,0.019997540005754294
2020-10-09,0.018206638791830043,0.0187938703362851,0.023390835079660333,0.03416623581777034,0.010820778698585803
2020-10-16,0.005125821794127461,0.006945052566242893,-0.0194545353465313,0.016523411627172635,-0.008316621255787025
2020-10-23,-0.004419944467064618,-0.006547994710884075,-0.03710220891883875,-0.034270659467294906,-0.042453638884701175
2020-10-30,0.043452909751255486,0.04630913614390941,0.04693226938529382,0.06949516795912225,0.06139791263941219
2020-11-06,0.04620154153510425,0.07318424374582433,-0.0009703617928055186,0.09845572101509359,0.008479802535628918
2020-11-13,0.01945528494707638,0.016646194414625448,0.018532472708277847,0.031085367243530948,0.012938598007683834
2020-11-20,-0.01002500330210776,-0.010087760659266198,0.004883146316335241,-0.03648988395998143,0.013639583260684146
2020-11-27,0.0422524971398337,0.044533276355804174,0.015094437865220245,0.06973603662872407,0.011112138529676603
2020-12-04,0.01939708097736248,0.01648683359384462,0.02472392718850891,0.010085453973434522,0.00010918366979544834
2020-12-11,0.048784015878455156,0.04678544886284053,0.024472478687632027,0.05525881717566006,0.0150248408481987
2020-12-18,0.011729644292280517,0.01977762981697162,-0.0022769978986207917,0.04081164450641972,-0.004478592727547123
2020-12-25,0.03128806421518693,0.03572103113019476,0.004153936773886757,0.061094930360553246,0.01322474269116063
2021-01-01,0.003626892308277233,0.004360829852708285,0.010512220446871046,0.007087820783839922,0.013961690575370991
2021-01-08,0.0015499053937924057,-0.006504493695262292,-0.008158129298379113,0.00577595391790009,-0.0016879548082393264
2021-01-15,0.009851844470732507,0.007503619887013979,0.01853275978954505,0.012119248504075308,0.015272250179957807
