Date,DEO,BUD,STZ,BF-B,PRNDY,MNST,CELH,KDP,PEP,KO,META,GOOGL,SNAP,TCEHY,MSFT,PM,BTI,MO,UVV,TPB,NTDOY,EA,TTWO,CCOEY,UBSFY,MCD,CMG,YUM,DPZ,QSR
2017-03-04/2017-03-10,0.03147361175292795,0.03712633415012991,0.039334464391693184,0.010119877693966443,0.0211627132104663,-0.0027691412787907983,0.15723478910834224,0.02520857999978945,0.019259410155420893,0.005220456076580386,0.012579948579443927,0.014075638622290474,-0.20494545528861619,0.061085232784191645,-0.0013915471951830257,0.021706341500549186,0.013495619011935911,-0.011750028594004761,0.014815173059468913,0.001510524123773476,0.03223712736439835,0.013055972378386564,-0.011047984150050214,0.024645710412319458,0.02969876313250532,-0.0012491325755703273,-0.023490523365134644,0.0001565856689120742,0.005022726878903241,0.002951016108983731
2017-03-11/2017-03-17,0.011508678875014134,0.0011722500475470922,0.004187595576102983,0.01467318353589391,-0.003424893624272142,-0.006849335134521097,-0.13056599515568287,0.0027968399838806304,0.0057418954963777994,0.006892854469584126,-0.0032915652788607125,-0.03550806456738085,-0.12175551297237049,0.01219707603629846,0.0035519285205907005,0.0022158834864803066,0.0479591781202323,-0.009133948318957062,0.03255248875781567,0.11332908959251048,0.09485131181402569,-0.017784565972312972,-0.013593896058935297,-0.03720029236993596,0.030077485345739476,0.007938327575633891,0.034152558867828545,-0.010078958453375952,-0.004399028786879332,0.0031258116912738195
2017-03-18/2017-03-24,-0.0010326818876632967,-0.0065087717774518486,-0.001721909431665139,-0.021551971535312554,0.004706416599497543,-0.006464212398300326,-0.018593385388884477,0.006803421007736999,0.0035723420173226217,0.010144781647792915,0.020430628718500977,0.01163913897513615,0.15166178478858058,0.007247767852974475,0.01286595689465072,0.014197323274686766,0.015425930567197153,-0.026974878199042103,0.008504634807564991,0.042222419724650864,-0.045271775568889686,0.018449621677268616,0.02023736150943131,-0.05595865971367372,0.03159427725587446,0.00247765035647097,0.06765505222232301,0.01320778978228288,-0.0013027511065529626,0.02698745565674917
2017-03-25/2017-03-31,-0.007434492934320469,0.0020834897940004973,0.05584730722546623,-0.015214570138157083,0.011879122431884853,-0.01108582879843322,0.015957774813518132,-0.0113649121578254,-0.00536299185075518,0.0016421196284160376,-0.0087453592093736,-0.0051692574633190715,-0.0092776933361308,0.015017311182560387,0.0003041765747197487,-0.008226032529152556,0.003328424691990509,-0.008782526318740123,-0.009929210015931186,0.00772191918660272,0.021717966692031444,-0.01901414110994026,-0.01453642156270202,0.017320760269519182,0.02130261730432545,0.00639770577985837,0.01424749808869927,0.008244870381519156,0.010213411597513211,0.001249992734390874
2017-04-01/2017-04-07,0.0031187448469027807,-0.013301892107255587,-0.01655368269165973,-0.004169783470142065,0.01797342881703588,-0.018753962989382242,-0.05143184074788872,0.010028473523330176,0.009810075132106267,0.0028085832010202386,-0.012688902063007277,-0.005838751496462836,-0.07893373639209063,0.0037193164414383566,-0.011937656944709862,0.004166161502690915,0.015588217062175353,-0.0016812750032786836,0.019067268091015197,0.017789976187090974,-0.027221965523752622,0.005180519880487543,-0.00899816534444906,0.003025789164288535,0.008163275231134465,0.004675540899404742,0.029173393549827984,-0.0118438860582997,-0.06646129543894577,0.0010704692165368224
2017-04-08/2017-04-14,-0.013760983700925877,0.0005502733088684934,0.023399765524586613,0.014193876902249313,0.014803112707257277,0.018535396558306088,-0.01680720250373277,0.00901185187859831,0.008043598216580445,0.00698601962286121,0.03114758740256653,0.023409185294134462,-0.030726589752667687,0.034823564226701936,0.008432541180388168,-0.02762022200769125,-0.0014885547274923424,0.001541113836217402,0.04546235584359598,0.010648036847932897,0.06412890672657748,0.024303699880860043,0.07531158964913529,0.034639798590045644,0.02296320901292405,0.01901388372986562,0.03136101363327487,0.024095270635909077,0.01635558426730208,0.010639951622228073
2017-04-15/2017-04-21,0.02972154254026609,0.028377227212123858,-0.010988069202176856,0.014208906187283316,0.01940224025775754,-0.00988694750755283,0.10958911954704065,-0.062250666692540674,-0.008398919000425324,-0.0018581953941685778,0.02675969424383899,0.0358127216304199,0.0359960922623543,0.025105990086642674,0.04142020310045793,0.001907714504687426,0.010224823254703684,0.0016790988046589649,0.008047960809716563,0.002489280489864958,-0.029882421084650373,0.03268015725753201,0.017894753653481428,0.007752057541855016,0.08379009644121353,0.055460346377096854,0.00751789539009893,0.014803777782508664,0.04768337809768601,0.0014104963437983756
2017-04-22/2017-04-28,0.013360522112839985,0.06251474210200858,0.035264628444804116,0.03404384515327855,0.041942181302193376,0.014032227199167881,0.01756612529853207,-0.010470416402210699,0.0028368821005975587,0.014999801591232115,0.02110284353041887,0.06857992395602566,0.0745514810767607,-0.006377513475311562,0.007878424657520706,0.009124228185076069,0.0029442500592079717,-0.01720318187475863,-0.04648800529657545,-0.017555549655755138,0.054172459322463604,0.00550283584384365,0.008043546497757886,0.04251934739234301,0.03386674892563931,0.018148822760724853,-0.02011807018687143,0.04401006538324844,0.02575030391119422,0.002638673144896395
2017-04-29/2017-05-05,0.006530461299973028,0.01403229208937172,0.006132541335530479,0.024692890972465187,0.0038315900163641333,0.04157939801587408,-0.015037862537514927,-0.00340444350640102,0.0007082340513473825,0.00022916286695859336,-0.005384341792602617,0.0012247692036452438,0.027986142181639768,0.046258276836461436,-0.005099244905940172,-9.01079012762897e-05,0.017629881637626427,0.0024151800269577965,-0.0028029553117142054,-0.0025330373333706246,0.022479914807978202,0.13613949170425027,0.07459027866289958,0.004614608789412666,0.012036242406300742,0.005284714898266548,0.03355433766614874,0.0021723722891138293,0.025871678781003115,0.040962277040547924
2017-05-06/2017-05-12,0.0016677931411917318,-0.016024944399612946,0.01711874586255834,0.05814338194139417,0.006479895614407557,-0.022601018348408147,-0.13786985469160037,-0.0051837554243479534,0.008719811052005729,0.0029722597042514736,-0.015989397238797946,-0.005654611794797949,-0.1919408201610802,0.039819776010071056,-0.011015610419245056,0.0212671593637848,0.009343715289397028,0.0008512400543697955,-0.02630804254876984,-0.023741942632829804,0.04968656587983611,-0.015312625544420193,0.00014581436877951576,0.013717768285448212,0.0333364358548355,0.019229605402286725,-0.007767713548903865,-0.0004342401085817403,-0.003435347554559845,0.0003057575563008222
2017-05-13/2017-05-19,0.015131035981460402,0.011557046138847967,-0.0038786924341962913,-0.01881428006365704,0.026618339700293363,0.08101172512992941,0.1429078234420184,0.03124390491563938,0.03023191966584863,0.03609882805285159,0.028705130640169673,0.04259380380578489,0.04395191941797973,0.04908790970462776,0.03353339039956767,0.05064144797935979,0.025149999535671274,0.04977487173080751,-0.05707332956781814,0.012903236097066917,0.054592797191517356,0.06253180844091405,0.13518818935365878,0.0009077858548232453,0.04432599888220622,0.018666747007145452,-0.006934952476202723,0.042915328621458575,0.06621931116149196,0.03031545131721515
2017-05-20/2017-05-26,0.008172692520047407,-0.008399472336724738,0.024944517855917933,0.022800344565464085,0.012865356293286914,0.004128638521928735,0.024814965181300778,-0.003973612599025959,-0.0025557601798055695,0.008332917189876558,-0.0028337875270073986,-0.003605679790681929,0.0592118272734334,-0.019802616384045377,0.0068713416518378445,0.011814876092042906,0.009028336864361594,0.01685216507300139,0.02038537151270143,0.045120582405851734,0.030678894608199274,0.00035134011617266774,-0.005234560675387731,0.06158500714415223,0.04332803572817156,0.01727521363605013,0.00458036052216104,0.02329509243442767,0.03448770863957188,0.00539972759626223
