Date,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,EA,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,SPY,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
2016-01-04,38.88399887084961,54.279998779296875,122.47000122070312,1.5399999618530273,0.6566669940948486,8.976200103759766,107.75,109.2300033569336,66.0999984741211,37.97200012207031,92.2300033569336,42.400001525878906,117.58000183105469,102.22000122070312,24.05666732788086,57.38999938964844,54.79999923706055,3.450000047683716,98.7699966430664,87.0,22.229999542236328,35.54999923706055,,201.02000427246094,140.69000244140625,19.1299991607666,,34.16999816894531,5.690000057220459,55.369998931884766,51.91229248046875
2016-01-05,38.90399932861328,54.39500045776367,122.55000305175781,1.5399999618530273,0.6666669845581055,8.980600357055664,108.3499984741211,109.93000030517578,64.94000244140625,38.076499938964844,93.37000274658203,42.54999923706055,119.19999694824219,102.7300033569336,24.344999313354492,58.54999923706055,55.04999923706055,3.312000036239624,99.44999694824219,87.87000274658203,21.93000030517578,34.189998626708984,,201.36000061035156,143.6199951171875,19.079999923706055,,34.75,5.690000057220459,55.31999969482422,51.78289031982422
2016-01-06,38.152000427246094,54.28499984741211,120.2300033569336,1.5399999618530273,0.6233329772949219,8.53339958190918,107.22000122070312,109.7699966430664,63.68000030517578,37.96649932861328,94.5,42.31999969482422,118.4000015258789,102.97000122070312,24.383333206176758,59.16999816894531,54.04999923706055,3.1480000019073486,99.4800033569336,87.8499984741211,21.770000457763672,33.150001525878906,,198.82000732421875,143.1199951171875,18.65999984741211,,34.0099983215332,4.989999771118164,54.83000183105469,51.4162483215332
2016-01-07,37.34400177001953,53.060001373291016,119.47000122070312,1.5399999618530273,0.6233329772949219,8.319999694824219,104.69999694824219,106.75,62.459999084472656,37.04999923706055,93.29000091552734,41.619998931884766,115.66000366210938,97.91999816894531,24.200000762939453,58.13999938964844,52.16999816894531,3.196000099182129,97.56999969482422,87.25,21.690000534057617,32.38999938964844,,194.0500030517578,149.61000061035156,17.90999984741211,,32.41999816894531,5.099999904632568,52.900001525878906,49.662113189697266
2016-01-08,37.21200180053711,52.334999084472656,117.12999725341797,1.5399999618530273,0.6233329772949219,8.265800476074219,104.58000183105469,108.97000122070312,63.130001068115234,36.545501708984375,92.45999908447266,41.5099983215332,115.4800033569336,97.33000183105469,24.041667938232422,58.2400016784668,52.33000183105469,3.2100000381469727,97.20999908447266,86.70999908447266,21.350000381469727,31.81999969482422,,191.9199981689453,147.0,17.969999313354492,,32.34000015258789,5.369999885559082,51.599998474121094,48.9863395690918
2016-01-11,37.560001373291016,53.165000915527344,119.16999816894531,1.5399999618530273,0.6166669726371765,8.222000122070312,105.2300033569336,106.22000122070312,64.20999908447266,36.653499603271484,92.5999984741211,41.58000183105469,116.69000244140625,97.51000213623047,24.34000015258789,59.459999084472656,52.29999923706055,3.2039999961853027,97.44000244140625,89.16999816894531,21.5,31.670000076293945,,192.11000061035156,147.0500030517578,17.709999084472656,,32.77000045776367,5.369999885559082,52.68000030517578,48.90007019042969
2016-01-12,37.827999114990234,53.43000030517578,119.0,1.5399999618530273,0.6333330273628235,8.085200309753418,106.2699966430664,109.76000213623047,65.62000274658203,37.266998291015625,92.72000122070312,42.119998931884766,117.44000244140625,99.37000274658203,24.549999237060547,59.380001068115234,52.779998779296875,3.0980000495910645,97.62000274658203,89.08999633789062,21.8700008392334,32.310001373291016,,193.66000366210938,147.0399932861328,17.75,,33.619998931884766,5.230000019073486,52.75,50.01437759399414
2016-01-13,36.604000091552734,52.77000045776367,116.13999938964844,1.5399999618530273,0.5933330059051514,8.565600395202637,105.2699966430664,107.95999908447266,63.380001068115234,35.97850036621094,90.38999938964844,41.849998474121094,115.12000274658203,95.44000244140625,23.94499969482422,57.779998779296875,51.63999938964844,3.194000005722046,96.5,88.30999755859375,21.579999923706055,31.760000228881836,,188.8300018310547,144.1300048828125,17.239999771118164,,32.5,5.28000020980835,51.84000015258789,49.62616729736328
2016-01-14,37.09600067138672,52.560001373291016,117.12999725341797,1.5399999618530273,0.6200000047683716,9.086000442504883,104.79000091552734,107.13999938964844,64.4800033569336,36.56949996948242,90.22000122070312,41.880001068115234,116.62000274658203,98.37000274658203,23.73666763305664,58.220001220703125,53.11000061035156,3.171999931335449,95.80999755859375,87.87999725341797,21.530000686645508,33.599998474121094,,191.92999267578125,143.25,17.59000015258789,,32.689998626708984,5.300000190734863,52.70000076293945,50.33069610595703
2016-01-15,36.79999923706055,50.95000076293945,116.41000366210938,1.5399999618530273,0.6166669726371765,9.518799781799316,102.33000183105469,104.16000366210938,66.05999755859375,35.52450180053711,89.16000366210938,41.5,115.18000030517578,94.97000122070312,23.52166748046875,57.20000076293945,50.9900016784668,3.1059999465942383,93.93000030517578,86.29000091552734,21.079999923706055,33.470001220703125,,187.80999755859375,142.75,17.09000015258789,,32.58000183105469,5.300000190734863,51.630001068115234,48.23148727416992
