Date,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,EA,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
2016-02-29,0.006213775886183906,0.029462802563055068,-0.06682386725998408,-0.04199092420399597,0.03694301707486036,0.10739916552323024,-0.003576527906462026,0.15294664725044319,0.09835473913676725,0.002134564474846929,0.0188826259532086,0.03307075486588439,-0.025908508293228345,-0.008270058718372409,7.785884267034102e-05,0.045196991632003594,0.013862452937471004,-0.002211112108343079,0.01801066631065788,0.04563218829401076,-0.07424047052569768,0.11978637115181973,,-0.015046929309917106,0.046669929520219824,,0.041597004115790905,0.10763064391867744,0.0461154651618356,0.0548891593944069
2016-03-31,0.019959971440774733,0.06251143712641978,0.08536464393577177,0.1574867774958467,0.1263820574655805,-0.10725052570386781,0.02420834995997496,-0.004543407936735353,0.02001439819516348,0.041906876827057966,-0.022130588432809687,0.061572004542352524,0.07421807492597776,0.040420305154697855,0.03750675306663015,0.01589459054361756,0.05355431675239734,-0.017867614312184733,0.04005304716330307,0.06109778345891375,0.027474261431129354,0.056338627626114454,,0.04494203097730078,0.0688530209883888,,0.029635749279865085,0.04976146231940062,0.027844044369838117,0.06903656695649069
2016-04-30,-0.02519532765934433,0.039332578109300576,0.02218547338207889,-0.04339259150978267,0.10809602866501969,-0.0794484113962428,0.009503278622686786,-0.09483276932468879,-0.06032214086394834,-0.06525005563491054,0.03904040585179258,-0.029089265558813034,0.028241708489772706,0.031997902073318436,0.0900619520525386,0.0028686168769409236,-0.10068400624458729,-0.02279299071406588,0.01674031744113195,0.010846973849393243,-0.028868041632271503,0.09640953790725071,,0.05222288693160121,-0.04145396358804833,,-0.10191537267274091,-0.022914238061677604,-0.01641001238738903,-0.006794454218435156
2016-05-31,0.010669599484957422,-0.008423477951170025,0.02406702552415961,-0.02643334238848406,0.02828555441941842,0.019329200892175217,-0.0062637833095388635,0.02730688414257569,0.20733803398251402,0.0405268546642794,-0.01016138471959805,-0.007573689007819371,-0.06478599944294873,0.009462075711111437,0.043638131890553884,0.023123059286141633,0.05658008769983088,0.04010699540564476,-0.021435496619048075,0.0008065567646666497,0.016140609397217096,-0.02265100415757572,,-0.029656367523501197,0.1142965613603149,,0.13404568942664083,0.21249096542693208,0.004865012932559153,0.01984177913809765
2016-06-30,0.031038168608814927,0.0712128796840481,0.02631540557518966,-0.02074936169056208,-0.09173174255634925,-0.09633440579856796,0.04215900874678676,0.06689350852687677,-0.01076531185336841,-0.05629336091239046,0.054420093634773924,0.02118749422012684,0.00045000301527950827,-0.039883628887360016,0.05269923230911758,0.07839251554436538,-0.02527894004114474,-0.015625332639285727,0.04537090927159318,0.034576053512180814,0.01813282984348863,-0.0012013993519941067,,0.07044047774670306,0.046789581592426674,-0.04940473263639959,-0.02551566075056596,-0.02851511069480379,0.037227541370824874,0.005562957826479207
2016-07-31,-0.029707294371796686,-0.026134250674665578,-0.060657876780791105,-0.12924315727843758,-0.017621194268232634,-0.01390090137983798,0.025625532882768788,0.10893162938104065,0.03208291628846827,0.12505808828247184,0.00577864994632547,-0.04097840004280536,-0.017097194256162063,0.08452898183371607,-0.013279212337717367,-0.034521892309930705,0.11471650121844729,0.3933940497197406,0.023139729519660916,-0.027103923971769302,0.024666953699657927,0.10725792830420106,,-0.010819934144876975,0.03086401334973643,0.10187881717057548,0.06755024059664,0.1266204557813302,0.010772939451128234,0.06957075726978325
2016-08-31,-0.010588388015333306,0.003907523142854578,0.007075668446212141,0.11639883235724835,-0.04546191387355934,0.04306724551107133,-0.01009066958852877,0.01698795120081406,0.04413489836357369,-0.007365049262915292,-0.040633239435437424,-0.0036840950536004974,-0.0248192833639886,0.014449674069140281,-0.027229126467008063,-0.004513189316489802,0.009692509142868396,0.06109338879884819,-0.010477016465468109,0.01623124674845222,0.04581596314300132,0.04682394017147137,,0.009641892233029312,0.09150385341775277,0.16040914374443882,0.07569125006138419,-0.03206190229257956,0.030315625617796438,0.026120744459252915
2016-09-30,-0.02288747539613304,-0.018525183812427983,0.019439584481440165,0.08831864639634068,-0.047629026735355795,0.023381353337979697,0.008216058190976408,0.016659959512843787,0.03390957739717004,0.014650756722050575,-0.05252734765585878,-0.030428674406589598,-0.005166522176434128,0.02016462295936353,-0.05043082933526599,-0.06143493929392313,0.002601081844340033,0.12690468232710228,-0.0012811488019081655,-0.040463885091192434,-0.008059319201596582,-0.09736237987029828,,0.037105914584914156,0.07314437604323859,-0.08527686362681385,0.038772438721864685,-0.07141257822603032,-0.0454743381993204,-0.03726613695389721
2016-10-31,-0.015547643896036203,-0.0800223409876373,-0.12416821281137455,0.0788065404258728,-0.06031976311652155,-0.12473607762435328,-0.08882088913110546,0.09487107702439822,-0.049192032099047954,-0.02635648120130167,-0.015799156153326974,0.00764248666043856,-0.01950072096764135,-0.07030313178352646,-0.04552100531384017,0.0518841037653292,0.025140355012298863,-0.04732895149003789,0.002158912711405726,0.006149838151734754,-0.006408782841726164,0.016499943819408436,,-0.06622774929559276,-0.07391514040540771,0.06287318661966818,0.059731960364991635,-0.13372365872425693,-0.04684764985357509,-0.0383531962433743
2016-11-30,-0.029820493132181464,-0.04512425779466362,-0.10143659800545218,-0.1810723695484202,0.21794923976416905,0.07124446587097481,-0.0397205471743147,0.015110313187017091,-0.06331401133753504,-0.0230982374293745,-0.016990567652370198,-0.045263295729296577,0.05866411706267163,-0.04169043647131336,-0.06855488376345872,-0.03407642923451893,0.006563740719185747,-0.0013197433589700136,-0.07394214679312798,-0.09202098217833919,-0.11973868561591627,0.05558783320198723,,-0.09403321923187791,-0.0477691169687831,0.10801310047875906,-0.022195244628589933,0.030305321027438586,0.01839933956896495,0.0413604974901647
