Date,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,SPY
2020-01-03,0.011708121825965367,0.004763820461083368,0.01092585126520973,0.007056371453080246,0.010049327857578394,0.00792672241422454,0.005479091216573324
2020-01-10,0.013801150168491594,0.020896788512022146,0.013223836130280997,0.011911577311419785,0.013086956718691978,0.013381560677264481,0.01307238177233882
2020-01-17,0.011602473331811414,0.001333999230654248,0.008723398141911254,0.005155541117422002,0.008189303387567737,0.009017647904237647,0.002417205256662637
2020-01-24,-0.01785135447428432,-0.009530407955426923,-0.017025992550939728,-0.01761442354334497,-0.018014413380974426,-0.018942740624671273,-0.01217880358505025
2020-01-31,0.006091470468856164,0.021374286747619653,0.008321661414460557,0.004806070232149295,0.004803535501083145,-0.0030559666240235206,0.019225908175907618
2020-02-07,0.001945611002753811,0.003082509142558143,0.004125559229964715,0.004374701311396834,0.003234821160878809,-0.00025269137031092015,0.0092222604156548
2020-02-14,0.015494986435180325,0.006482649361789994,0.012066400610189598,0.013625520128291102,0.013231443296011669,0.017750246732076036,-0.0003260977315794533
2020-02-21,-0.08145889073530488,-0.09415148453887279,-0.08702018787878618,-0.07918964861884425,-0.08120865363605667,-0.06552980940732078,-0.11705024049976492
2020-02-28,0.005749400804286875,0.015084358125411201,0.00737740775048179,2.272552232218672e-05,0.004745307928579523,3.5258701565066275e-06,0.016637768015855543
2020-03-06,-0.15592135981522237,-0.1546668204529228,-0.15914600201039775,-0.16182329994331013,-0.15809663257521567,-0.15431540450496328,-0.1796929956857785
2020-03-13,-0.04106440636011499,0.009120222308618198,-0.044055987820910025,-0.059746733263940976,-0.04240509151740157,-0.028969497839323788,-0.030631727168026278
2020-03-20,0.07596070543175548,0.07414822177832492,0.08685994665419705,0.08980042533882626,0.07778449011269117,0.04654377903455886,0.0924119730857806
2020-03-27,-0.0049067350506393215,-0.00529007081247479,-0.014816514495544553,-0.026993786422304433,-0.009776173251355047,0.005072833966250245,-0.03587300175480996
2020-04-03,0.08145156411532861,0.08075035462524305,0.09086449448644007,0.11078143411743024,0.08954419417053172,0.08607545398214622,0.10471332690197821
