Rebalance Date,Strategy,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
2016-01-01,Equal Weight,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.0,0.0,0.03846153846154721,0.03846153846154721,0.0,0.03846153846154721,0.03846153846154721,0.03846153846154721,0.03846153846154721
2016-01-01,Max Sharpe,0.0,0.0,0.0,0.039763472078159785,0.03520827307972569,0.001755054703573044,0.0,0.12169352191475483,0.0,0.1937875407896022,0.0,0.0,0.1508695438340989,0.030069583768561742,0.11492551502951104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1679052528737911,0.06696085147739526,0.0,0.05208875513601691,0.024972635314253127,0.0,0.0
2016-01-01,Inverse Volatility,0.04751956929351177,0.04478117458452348,0.04441418685675847,0.030372706337467484,0.009572957680683001,0.03323934842836332,0.04755520770970095,0.04146981828003914,0.03284672181979376,0.050794017417933324,0.05263261414662442,0.05835537324383143,0.02562667305015818,0.02480944880202387,0.05049868160421098,0.03432761124977211,0.021433558532057202,0.058370779290478306,0.04819888225289529,0.04567685194451486,0.0,0.0,0.03932881462998267,0.028507510726012042,0.0,0.031841944155471355,0.02408308745418162,0.03529724025526187,0.03844522025411093
2016-01-01,Minimum Variance,7.263032757424327e-16,7.263032757424327e-16,7.275938804398638e-16,0.08420442840864055,0.0006873638502545806,0.12006276903994517,0.053337095076627,0.07728762665714538,7.263032757424327e-16,7.263032757424327e-16,0.04498269407479094,0.23162293544229326,0.03813169107099577,7.298292216288184e-16,0.03409047869879482,7.263032757424327e-16,7.320132836585515e-16,0.1271127370467666,0.05369317243672206,0.05665045587848659,0.0,0.0,0.0013788418326367209,7.286553803578395e-16,0.0,7.263032757424327e-16,7.27655246205369e-16,0.04220360794634374,0.0345541025395678
2016-01-01,Risk Parity,0.033273105271994174,0.03424666606949192,0.033697600515457705,0.05083607356964803,0.018797036299475336,0.06348416647090983,0.04032752739035106,0.04621078761050702,0.028897234749679174,0.040368855070868924,0.04612888381843694,0.05977582256146049,0.0361975047064149,0.02293136964738646,0.04375922607030121,0.0325509082939159,0.02412499751426494,0.04958842149564853,0.04468959282043821,0.0415367202228639,0.0,0.0,0.03544160029291468,0.02761012710492205,0.0,0.03401169934075012,0.026032121696788226,0.04388445725727366,0.04159749413855329
2016-01-01,Maximum Diversification,0.0,0.0,0.0,0.09639431225578285,0.03293476892462762,0.1456845017246593,0.023830009392180766,0.06195726214860973,0.0,0.0,0.04222695741531513,0.106562599240925,0.06098006413255445,0.004218050508445418,0.04462088720726035,0.024251974759015457,0.03063018704314934,0.0,0.0533332800949237,0.06302573336577362,0.0,0.0,0.0060098274350498275,0.0,0.0,0.03094487751957835,0.02038031517247569,0.08510599495200702,0.06690839670669486
2016-01-01,Hierarchical Risk Parity,0.028205159395540032,0.03348922843494255,0.03294258014774436,0.04776491570206262,0.00512329707498822,0.05720671861669663,0.05022197558407138,0.06724464990516393,0.027372704004163008,0.042628745903144506,0.03601953373480753,0.09510835141491931,0.022442110796968978,0.013585415984708329,0.033157996737169945,0.03291123033543396,0.01569884886563775,0.042557347352568435,0.0383841000874316,0.05079965480034826,0.0,0.0,0.034139756868243276,0.02284751332545782,0.0,0.025723661674648603,0.022477757213448454,0.06415335481324187,0.0577933912269101
2016-01-01,Eligible Universe Equal Weight,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
2016-01-01,Partitioning Selection,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
2016-01-01,Density Selection,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
