Date,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2016,0.1010578992057174,0.15249268456230936,0.07957525635832985,0.051218059686304995,0.0828451406256383,0.08678013546678542,0.08543247672175824,0.09158253307239406,0.09200287691048636,0.09200287691048659,0.1101228207744902
2017,0.4206893816481492,0.5698595503331665,0.37525477225298287,0.20188017614531129,0.3593367504441829,0.28729662183055793,0.3283001389650242,0.298194599110994,0.37031642492799444,0.2996972332890959,0.21705452103415301
2018,-0.042145536757770996,-0.1276911363990454,-0.03728585163499487,0.06435820666706205,-0.012940691735922605,0.06290110134952243,-0.0008115717984660265,0.012405311290881516,0.042208617555987704,0.01411750721069649,-0.05397627855068576
2019,0.2848056785317983,0.20419070556698227,0.2737221733419366,0.21287551015151496,0.2678088198656665,0.25805002360617935,0.2614411178859344,0.314589068259272,0.328873130557368,0.3082781287119667,0.32784482134246495
2020,0.5996968463064907,0.4468532732913486,0.3730252530978069,0.1553194043030841,0.423736000262098,0.6338186190067381,0.30039563853679785,0.6061030444317181,0.9538773722979619,0.9143317480702409,0.1642539619860066
2021,0.13432255549468675,0.13833820327976332,0.15350338355492021,0.13650738704839305,0.12510013390625074,0.0414595496523289,0.1301664266741167,0.20097373883409864,0.25763956476815575,0.30863354302627943,0.3043122685453623
2022,-0.11901303495142701,-0.09457098913098883,-0.11171702685963092,-0.09197367335667839,-0.11426545144383016,-0.10686728524706623,-0.12300486828088963,-0.11953389433192019,-0.08905639554990097,-0.13801006629051704,-0.18175386127793258
2023,0.22959167068640163,0.282894252980574,0.1823613641992854,0.09970493356442667,0.19149895187097465,0.19937064126209014,0.18904456382304313,0.27573883717831293,0.3392654893794822,0.16762939963450152,0.2617580723704014
2024,0.08615583028653684,0.10979764518253865,0.08017969795661384,0.08006771541181168,0.09674211421639378,0.12061369307002434,0.09227854068100982,0.09849460760783968,0.048087163536389754,0.11719720179463944,0.267893482258035
2025,0.12348166626695667,0.2081259117620211,0.11259345858847203,0.10126356666745107,0.12151026674538867,0.12152569350378739,0.11090893316225414,0.14733780505136962,0.20270176700616527,0.15758606261629304,0.17378921659306612
