Date,SPY
2011-01-14,0.01684639314858148
2011-01-21,-0.007218654442838521
2011-01-28,-0.005076290954512365
2011-02-04,0.026501185810507633
2011-02-11,0.014834698902693374
2011-02-18,0.01061119267806055
2011-02-25,-0.016488550242951212
2011-03-04,0.0010571330614668458
2011-03-11,-0.012380726198412895
2011-03-18,-0.019486740036416268
2011-03-25,0.027331330937174773
2011-04-01,0.013991006507114817
2011-04-08,-0.00217998335517213
2011-04-15,-0.006191124137576985
2011-04-22,0.013091832638077798
2011-04-29,0.019614978567077935
2011-05-06,-0.01648046142796624
2011-05-13,-0.0011932839899719092
2011-05-20,-0.0032129036001760126
2011-05-27,-0.0007487051887633996
2011-06-03,-0.023416108986754596
2011-06-10,-0.021859892902327798
2011-06-17,0.0006257592207552549
2011-06-24,-0.0018908302506647065
2011-07-01,0.05455273071108395
2011-07-08,0.0035776443880062452
2011-07-15,-0.020369790823190025
2011-07-22,0.021708363572039945
2011-07-29,-0.03979175132197596
2011-08-05,-0.0742088134280611
2011-08-12,-0.016457098990306434
2011-08-19,-0.047504225477816145
2011-08-26,0.04623347607177044
2011-09-02,-0.0010180331913539798
2011-09-09,-0.016512226495307817
2011-09-16,0.05233890031620458
2011-09-23,-0.06792328631918004
2011-09-30,-0.0034413264406341656
2011-10-07,0.022372743335883193
2011-10-14,0.05759523329421025
2011-10-21,0.011357661554557053
2011-10-28,0.03666700878171317
2011-11-04,-0.024560583054387446
2011-11-11,0.009360053135072861
2011-11-18,-0.037648907506968
2011-11-25,-0.04734041363485625
2011-12-02,0.07067607632905426
2011-12-09,0.009485656646640089
2011-12-16,-0.029701961280357736
2011-12-23,0.03871753315457146
2011-12-30,-0.007066402379542008
2012-01-06,0.01745645817245925
2012-01-13,0.008809076295744156
2012-01-20,0.02385136595088145
2012-01-27,-0.0009852472835242842
2012-02-03,0.02042423427078431
2012-02-10,-0.0013389493484548562
2012-02-17,0.015142154082975697
2012-02-24,0.003804810495404415
2012-03-02,0.0027714247633125614
2012-03-09,0.001891994977289508
2012-03-16,0.02402325162454198
2012-03-23,-0.004644323905583479
2012-03-30,0.008272590632930966
2012-04-06,-0.0072707249181563184
2012-04-13,-0.019138939816409177
2012-04-20,0.005889246074379724
2012-04-27,0.017532936891929262
2012-05-04,-0.02444313241806295
2012-05-11,-0.010198019486257443
2012-05-18,-0.04425079273818025
2012-05-25,0.018026684743503767
2012-06-01,-0.030279351601434773
