Rebalance Date,Strategy,DEO,BUD,STZ,BF-B,PRNDY,MNST,KDP,PEP,KO,META,GOOGL,SNAP,TCEHY,MSFT,PM,BTI,MO,UVV,TPB,NTDOY,EA,TTWO,CCOEY,UBSFY,MCD,CMG,YUM,DPZ,QSR
2020-01-01,Equal Weight,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749
2020-01-01,Eligible Universe Equal Weight,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.0,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877
2020-01-01,Partitioning Selection,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.0,0.0,0.08333333333325754,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754
2020-01-01,Density Selection,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.0,0.0,0.08333333333325754,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0
2021-01-01,Equal Weight,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749
2021-01-01,Eligible Universe Equal Weight,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.0,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877
2021-01-01,Partitioning Selection,0.0,0.0,0.0,0.08333333333325754,0.0,0.08333333333325754,0.0,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0,0.08333333333325754,0.0,0.0,0.0,0.08333333333325754,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0
2021-01-01,Density Selection,0.0,0.0,0.0,0.08333333333325754,0.0,0.08333333333325754,0.0,0.08333333333325754,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754
2022-01-01,Equal Weight,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749
2022-01-01,Eligible Universe Equal Weight,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.0,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877
2022-01-01,Partitioning Selection,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.0,0.08333333333325754,0.0
2022-01-01,Density Selection,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.0,0.08333333333325754,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0
2023-01-01,Equal Weight,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749
2023-01-01,Eligible Universe Equal Weight,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.0,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877
2023-01-01,Partitioning Selection,0.0,0.0,0.0,0.08333333333325754,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754,0.0,0.0,0.0,0.0,0.08333333333325754,0.0,0.0,0.0
2023-01-01,Density Selection,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.08333333333325754,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333325754,0.08333333333325754,0.0,0.08333333333325754
2024-01-01,Equal Weight,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749,0.03448275862069749
2024-01-01,Eligible Universe Equal Weight,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.0,0.04166666666662877,0.04166666666662877,0.0,0.0,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877,0.04166666666662877
