Date,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2020-01-03,0.011547421524919721,0.014224012834407218,0.011906072099004628,0.006403213337791703,0.005479091216573324
2020-01-10,0.011684172369892165,0.011761924871834806,0.008836752504033152,0.011653894391967068,0.01307238177233882
2020-01-17,0.005285269715919583,0.0074126059464796334,0.0001489559263516682,0.0035933571796109565,0.002417205256662637
2020-01-24,-0.01557513343153305,-0.016229718067012344,-0.018901348188646305,-0.008516378169021177,-0.01217880358505025
2020-01-31,0.005045454605347999,-0.000558226520443128,-0.0015024521434363614,-0.007989980623009707,0.019225908175907618
2020-02-07,0.0008853125703032205,-0.0023536826806117572,0.010624586357631749,0.0059326304445292966,0.0092222604156548
2020-02-14,0.012516307359066614,0.016180197322507972,0.021942480125404007,0.027343339491714413,-0.0003260977315794533
2020-02-21,-0.08372958931663843,-0.08750759428916954,-0.0808423432303732,-0.0780751882752796,-0.11705024049976492
2020-02-28,0.006177255523270864,0.002456310561690822,0.0019713115964854477,0.007489450911311923,0.016637768015855543
2020-03-06,-0.15505740882738794,-0.15330179200365213,-0.14785757256781706,-0.1400001264604298,-0.1796929956857785
2020-03-13,-0.03438766638744395,-0.055196428013260634,-0.07002521760094582,-0.04438019988608655,-0.030631727168026278
2020-03-20,0.07994963904223318,0.07307440636245022,0.08878183694608399,0.0649337509254786,0.0924119730857806
2020-03-27,-0.0029153874126355284,-0.002967505098906753,-0.003975523331608666,-0.003914580025887404,-0.03587300175480996
2020-04-03,0.07763504964709411,0.08965299827719564,0.08422744014234929,0.08835896416247535,0.10471332690197821
2020-04-10,0.02359371029282631,0.019240432307116917,0.017092147815421344,0.026755852502905686,0.003235277790140684
2020-04-17,-0.014432403955965678,-0.011555281223227132,0.004209446624105162,-0.003913566537169122,-7.191099779724208e-05
2020-04-24,0.03305913060468857,0.04027570985996043,0.03298965398704934,0.022705310324635963,0.040848682356834726
2020-05-01,0.003859277343686074,0.00017805418845262544,-0.0008861193670538503,0.004411839367929327,-0.009639097866697992
2020-05-08,0.0004032666047084632,0.0029178979080901613,-5.7185251626901135e-05,-7.652833917815016e-05,-0.009420065332692375
2020-05-15,0.02566284427435317,0.028143168262063867,0.022935385471000824,0.017572755170133902,0.03477546060508584
2020-05-22,0.015828345695143797,0.01900959439107952,0.014578786945746103,0.015031816665105557,0.027434839462653727
2020-05-29,0.025462621844306144,0.02196899382844264,0.02823304700084961,0.0200921374526859,0.0276923222275846
2020-06-05,-0.013961926599531216,-0.017909203225074388,-0.029487751367135107,-0.015133419471872744,-0.034526034430359474
2020-06-12,0.031239971593973737,0.031030904855523067,0.02218577022671875,0.023960477335760455,0.03715780210318952
2020-06-19,-0.004824140878507799,-0.00926359383751485,-0.008915109321634529,-0.007417180109982158,-0.009870494002964062
2020-06-26,0.012525633021780003,0.008937101504208345,0.003909475641602711,0.005555496059045817,0.015877836949171154
2020-07-03,0.018809763922325695,0.013647922015517011,0.014701643001879816,0.02330546600935568,0.006885682096664002
2020-07-10,0.010635408732122098,0.025289270406746,0.019907001402338587,0.015509164535908226,0.02038939623219051
2020-07-17,0.00999492105780253,0.006023483674718166,0.00893546671660661,0.0133458256277319,0.006764649612967342
2020-07-24,0.007465248128787794,0.006871840668266627,0.009034575085494323,0.00954865740335431,0.0030963056116024568
2020-07-31,0.030714823540111347,0.01749174144739296,0.006404239767774378,0.015449682532694409,0.03201007693956946
2020-08-07,-0.0082007132043872,7.12615204103706e-05,-0.0004424525240360744,-0.002801622402048509,0.007477316190820962
2020-08-14,0.0109337195984478,0.00915044075614535,0.011892973566687504,0.008693251202313013,0.00430494732964767
2020-08-21,0.02103328013303729,0.01608921120263651,0.016993205160191316,0.015602971842981539,0.029709224303933128
2020-08-28,-0.00030180975649762853,-0.0003638676839025079,-0.005853631329040154,-0.010460439362268481,-0.008440182567775916
2020-09-04,-0.02231152894475341,-0.024099681431065334,-0.02419524417240404,-0.029775972922744476,-0.03329551191604901
