Rebalance Date,Strategy,Turnover,Cost
2020-01-01,Equal Weight,1.0,0.001
2020-01-01,Eligible Universe Equal Weight,1.0,0.001
2020-01-01,Partitioning Selection,1.0,0.001
2020-01-01,Density Selection,1.0,0.001
2021-01-01,Equal Weight,0.11592646849254562,0.00011592646849254562
2021-01-01,Eligible Universe Equal Weight,0.11259446946656167,0.00011259446946656167
2021-01-01,Partitioning Selection,0.4612361699769415,0.0004612361699769415
2021-01-01,Density Selection,0.5081138005950072,0.0005081138005950072
2022-01-01,Equal Weight,0.09779607209948374,9.779607209948374e-05
2022-01-01,Eligible Universe Equal Weight,0.07156714855854608,7.156714855854608e-05
2022-01-01,Partitioning Selection,0.4330335599783809,0.00043303355997838087
2022-01-01,Density Selection,0.423744467014308,0.000423744467014308
2023-01-01,Equal Weight,0.10603417803632947,0.00010603417803632948
2023-01-01,Eligible Universe Equal Weight,0.10950909600943354,0.00010950909600943354
2023-01-01,Partitioning Selection,0.36652151529897325,0.0003665215152989733
2023-01-01,Density Selection,0.448074451159505,0.000448074451159505
2024-01-01,Equal Weight,0.11122611856084269,0.0001112261185608427
2024-01-01,Eligible Universe Equal Weight,0.11747946673547603,0.00011747946673547604
2024-01-01,Partitioning Selection,0.44991754109641163,0.00044991754109641164
2024-01-01,Density Selection,0.34075156574360754,0.00034075156574360754
2025-01-01,Equal Weight,0.1163419180911243,0.00011634191809112431
2025-01-01,Eligible Universe Equal Weight,0.1102880885935213,0.0001102880885935213
2025-01-01,Partitioning Selection,0.40479783576472467,0.00040479783576472466
2025-01-01,Density Selection,0.32373132185356424,0.00032373132185356426
