rebalance_date,strategy,ticker,selected,cluster_label,trailing_pe,market_cap,available_date,value_rank,size_rank,sharpe_rank,base_score,adjusted_score
2020-01-01,Partitioning Selection,BF-B,False,0,37.77145956896173,32256826471.89331,2019-12-31,0.13043478260869565,0.4583333333333333,0.75,0.44021739130434784,0.44021739130434784
2020-01-01,Partitioning Selection,BTI,True,4,13.059942522218885,104090054750.06734,2019-12-31,0.8695652173913043,0.6666666666666666,0.125,0.49728260869565216,0.49728260869565216
2020-01-01,Partitioning Selection,BUD,False,4,18.46536271810436,137917794141.52145,2019-12-31,0.6086956521739131,0.7916666666666666,0.041666666666666664,0.32518115942028986,0.32518115942028986
2020-01-01,Partitioning Selection,CMG,True,1,1.5022965708231844,465352888.0747605,2019-12-31,1.0,0.041666666666666664,1.0,1.0,1.0
2020-01-01,Partitioning Selection,DEO,True,3,25.26540247669713,109157049391.45515,2019-12-31,0.5217391304347826,0.7083333333333334,0.7083333333333334,0.615036231884058,0.581203143726809
2020-01-01,Partitioning Selection,DPZ,True,0,31.370714371195238,12015736501.312683,2019-12-31,0.2608695652173913,0.16666666666666666,0.875,0.5679347826086957,0.5679347826086957
2020-01-01,Partitioning Selection,EA,False,2,11.431410392072106,31390652936.63,2019-12-31,0.9130434782608695,0.4166666666666667,0.2916666666666667,0.6023550724637681,0.6023550724637681
2020-01-01,Partitioning Selection,GOOGL,True,2,3.654211638331771,46269627764.556885,2019-12-31,0.9565217391304348,0.5833333333333334,0.5416666666666666,0.7490942028985508,0.7490942028985508
2020-01-01,Partitioning Selection,KDP,False,0,36.558792041915225,40726494334.69356,2019-12-31,0.17391304347826086,0.5416666666666666,0.9166666666666666,0.5452898550724637,0.5452898550724637
2020-01-01,Partitioning Selection,KO,False,3,30.60745885123064,237146591179.33496,2019-12-31,0.30434782608695654,0.9166666666666666,0.8333333333333334,0.568840579710145,0.568840579710145
2020-01-01,Partitioning Selection,MCD,False,3,25.35891158055921,148818772610.51172,2019-12-31,0.4782608695652174,0.8333333333333334,0.5833333333333334,0.5307971014492754,0.5307971014492754
