Date,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2016-01-01,-0.005630227055191227,-0.0026410022844367545,-0.006926575866205486,-0.008550266088196978,-0.0072198096034089545,-0.00874237508847453,-0.007796867425148734,-0.011055508562183625,-0.010875611032142962,-0.010875611032142962,-0.008800015698756948
2016-01-08,-0.04742729041499183,-0.02432697430112085,-0.043405626052196666,-0.04239156159984603,-0.04638205133239359,-0.05410597364670933,-0.045088077371723045,-0.046045477218306874,-0.04689045721562102,-0.04689045721562102,-0.05861591764312952
2016-01-15,-0.012496316366525706,-0.025827124705228854,-0.012937598457912869,0.00316371726156639,-0.007653174309499744,0.009249882847498725,-0.0070297415464047885,-0.006282086669372244,-0.00423682061078956,-0.00423682061078956,-0.021415152267032535
2016-01-22,0.027175329819651317,0.030631616205659018,0.02630700874355285,0.01851884997192399,0.023655240747183504,0.015496183317803114,0.024346618413559007,0.019002843201096464,0.01860724975123973,0.01860724975123973,0.01442935165733521
2016-01-29,0.03218766082728752,0.039818330676212765,0.033748022852938764,0.028264852137001473,0.03127829316916664,0.027932150105128617,0.031856705306107624,0.03711884263748377,0.03763192167799545,0.03763192167799545,0.016796317433717494
2016-02-05,-0.04058541077178812,-0.057565742442830636,-0.039075264756148864,-0.034949775207254175,-0.038692502933708406,-0.03649752556742247,-0.03757798363992226,-0.03565201940379259,-0.038943795955601934,-0.038943795955601934,-0.029785785673182984
2016-02-12,-0.012669958760555211,-0.007782050460659384,-0.007772664873853863,0.003317843716130975,-0.007496376617117773,-0.008446129039993422,-0.004597839799326486,0.004458718218545155,0.006099032170488794,0.006099032170489016,-0.0070228710357318905
2016-02-19,0.02969648747579523,0.019306371490620755,0.024718667862392074,0.015842358107091226,0.025856828000782484,0.028664628325701047,0.023631623392370127,0.025481803635734046,0.025852881172683695,0.025852881172683473,0.028773703431406134
2016-02-26,0.0122598984904001,0.046198842204522306,0.010400510326894485,0.015051238332847383,0.01216627331573017,0.015677817642134828,0.014433025353507878,0.017183144422437957,0.02269301386442879,0.02269301386442879,0.016093604460052084
2016-03-04,0.02159173733766595,0.006353080989010218,0.020824063211843047,0.019117022284768304,0.02123232707900935,0.02349979692115456,0.020829484989255853,0.015270971314331971,0.007745848646438791,0.007745848646438791,0.027372215032215753
2016-03-11,0.006929716084131066,-0.0012570584571786059,0.008336303764520103,0.008724562705805905,0.006163351458287503,0.002207602730318614,0.00795559556198322,0.006640994258584998,0.004834345636192117,0.004834345636192117,0.01162482094143779
2016-03-18,0.006964492409187173,0.014119627866618023,0.006954809761834602,0.0027952994428317446,0.005280077386077275,0.0003142649554661592,0.005164061841113066,-0.003411939448318302,-0.005621109048341788,-0.005621109048341788,0.013188696968558159
2016-03-25,0.000755774635717632,-0.0018624775381346215,-0.0018312034168421754,-0.0012770465742248938,0.00036926140656579065,0.005607124403730346,-0.0003174486519407216,-0.0015694138007746883,-0.0025957246288287328,-0.0025957246288287328,-0.006164908618405418
2016-04-01,0.022671292699116607,0.031543091359811815,0.024344552100790784,0.02416780656076334,0.02388147022967213,0.02205057798055754,0.025013198297362926,0.030209770067165742,0.029817765706821264,0.029817765706821264,0.018708118162862487
