Rebalance Date,Strategy,Turnover,Cost
2016-01-01,Equal Weight,1.0,0.001
2016-01-01,Max Sharpe,1.0,0.001
2016-01-01,Inverse Volatility,1.0,0.001
2016-01-01,Minimum Variance,1.0,0.001
2016-01-01,Risk Parity,1.0,0.001
2016-01-01,Maximum Diversification,1.0,0.001
2016-01-01,Hierarchical Risk Parity,1.0,0.001
2016-01-01,Eligible Universe Equal Weight,1.0,0.001
2016-01-01,Partitioning Selection,1.0,0.001
2016-01-01,Density Selection,1.0,0.001
2017-01-01,Equal Weight,0.08196415710160695,8.196415710160695e-05
2017-01-01,Max Sharpe,0.4745867893621137,0.0004745867893621137
2017-01-01,Inverse Volatility,0.08144603722195262,8.144603722195262e-05
2017-01-01,Minimum Variance,0.24380948636607075,0.00024380948636607076
2017-01-01,Risk Parity,0.1055478492643252,0.0001055478492643252
2017-01-01,Maximum Diversification,0.32373852639068995,0.00032373852639068994
2017-01-01,Hierarchical Risk Parity,0.1650650726292023,0.00016506507262920231
2017-01-01,Eligible Universe Equal Weight,0.13852495162030176,0.00013852495162030177
2017-01-01,Partitioning Selection,0.20113352631961137,0.0002011335263196114
2017-01-01,Density Selection,0.1510351216008285,0.0001510351216008285
2018-01-01,Equal Weight,0.09332082620425827,9.332082620425827e-05
2018-01-01,Max Sharpe,0.36007425787154945,0.00036007425787154947
2018-01-01,Inverse Volatility,0.08560786287609828,8.560786287609829e-05
2018-01-01,Minimum Variance,0.10992497537853088,0.00010992497537853089
2018-01-01,Risk Parity,0.0885103977473609,8.85103977473609e-05
2018-01-01,Maximum Diversification,0.1597489779058382,0.0001597489779058382
2018-01-01,Hierarchical Risk Parity,0.1370530145549737,0.0001370530145549737
2018-01-01,Eligible Universe Equal Weight,0.0841832276390592,8.418322763905919e-05
2018-01-01,Partitioning Selection,0.23334427432521612,0.00023334427432521613
2018-01-01,Density Selection,0.297244663117504,0.00029724466311750405
2019-01-01,Equal Weight,0.12588858011642068,0.0001258885801164207
2019-01-01,Max Sharpe,0.6626838862414521,0.0006626838862414521
2019-01-01,Inverse Volatility,0.12526890089065756,0.00012526890089065756
2019-01-01,Minimum Variance,0.36389606081188214,0.00036389606081188217
2019-01-01,Risk Parity,0.1486752621217696,0.0001486752621217696
2019-01-01,Maximum Diversification,0.40431027384820145,0.00040431027384820145
2019-01-01,Hierarchical Risk Parity,0.1639740064592244,0.00016397400645922438
2019-01-01,Eligible Universe Equal Weight,0.18389101688328252,0.00018389101688328252
2019-01-01,Partitioning Selection,0.2980160889909386,0.0002980160889909386
2019-01-01,Density Selection,0.35980380949729784,0.00035980380949729787
2020-01-01,Equal Weight,0.07783948342506011,7.783948342506011e-05
2020-01-01,Max Sharpe,0.35257828156935067,0.00035257828156935066
2020-01-01,Inverse Volatility,0.0677723092020435,6.77723092020435e-05
2020-01-01,Minimum Variance,0.20438089486920807,0.00020438089486920808
