Rebalance Date,Strategy,BF-B,BTI,BUD,CCOEY,CMG,DEO,DPZ,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
2016-01-01,Equal Weight,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.0,0.0,0.03999999999996362,0.03999999999996362,0.0,0.03999999999996362,0.03999999999996362,0.03999999999996362,0.03999999999996362
2016-01-01,Max Sharpe,0.0,0.0,0.0,0.061534408120895806,0.007873139851657093,0.0,0.11546602670776458,0.0,0.1755740337578202,0.0,0.0,0.16176317841593638,0.03978233162947681,0.1086802038353978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17684693872439022,0.06588400986465451,0.0,0.039331823245665844,0.04726390584608149,0.0,0.0
2016-01-01,Inverse Volatility,0.04768112480764592,0.04512429730163859,0.04477919180623017,0.03117935520610382,0.034013882414776785,0.04771418452417315,0.04199004269163223,0.033627265603178025,0.05069488885381893,0.05236562585844001,0.057463169915888526,0.02643035050053698,0.025606125930224544,0.05042505962038703,0.035082725447368686,0.022183104855714116,0.057476678012274185,0.048310315750759586,0.04596415787527607,0.0,0.0,0.03993985235229533,0.029320964975232133,0.0,0.03263550961467334,0.024872052243267096,0.03603156511011214,0.03908850872749239
2016-01-01,Minimum Variance,0.0,0.0,0.0,0.08493248067997264,0.11776267848834064,0.05433743641397539,0.07582328903264779,0.0,0.0,0.05250152190456642,0.20981285971759694,0.039601431755952717,0.0,0.04076952401117777,0.0,0.0,0.11736880947244684,0.05476463265380321,0.05875156280584506,0.0,0.0,0.007715551389241253,0.0,0.0,0.0019024077970565504,0.0,0.0450698521801855,0.038885961696580644
2016-01-01,Risk Parity,0.03449952340589458,0.034748875279359555,0.034633911041729325,0.05486014162583811,0.06480454722014213,0.04047689241110418,0.04637310510087414,0.02902566618341916,0.040599418047689434,0.046014342570381485,0.06098728726921851,0.03775784481882907,0.023652154208884335,0.04379856806478677,0.033443303085839066,0.02427785028660651,0.05011585354981382,0.04395084346572899,0.04189104433324285,0.0,0.0,0.036724661177340655,0.028169520005777125,0.0,0.03373248686544382,0.027947815392862434,0.04473453016915076,0.042779814419714665
2016-01-01,Maximum Diversification,0.0,0.0,0.0,0.11413513544522813,0.1462379587040093,0.02676236985387589,0.05227984101456925,0.0,0.0,0.03296423404048322,0.11554028657855253,0.06937085581588616,0.007324527362562885,0.04256721040700239,0.026486187388046742,0.022541711719550803,0.019773325618905588,0.0342602871957057,0.058598464675013576,0.0,0.0,0.013905277633080575,0.0,0.0,0.016400986110363044,0.0384634974076611,0.08343884749357373,0.07894899553501361
2016-01-01,Hierarchical Risk Parity,0.030112524433847224,0.0402451583940256,0.026154494038357016,0.04522653336899932,0.059545188468750274,0.029695376266041292,0.06375813920272916,0.026705241986210732,0.03348757450819171,0.06974782884873304,0.10627917236124285,0.022130089364901278,0.013639360394663853,0.03313204047324839,0.02906698983884062,0.017900295382707217,0.04375598853999621,0.04554552313721888,0.04122916678812791,0.0,0.0,0.033183268494973654,0.02262857619140839,0.0,0.03428070947091292,0.020793942406968993,0.06039838066900387,0.05135843697012169
2016-01-01,Eligible Universe Equal Weight,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
2016-01-01,Partitioning Selection,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
2016-01-01,Density Selection,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0
