Date,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2016,0.09217809901682616,0.1353634114484472,0.07783696050977285,0.05283437266345081,0.07742160456283065,0.06886164766299108,0.08571540247711873,0.09158253307239406,0.09200287691048636,0.09200287691048659,0.1101228207744902
2017,0.3929206804267884,0.4452503508318293,0.36429466763560825,0.1827504635824755,0.33517881456631615,0.2312377708224489,0.3286226896262934,0.298194599110994,0.37031642492799444,0.2996972332890959,0.21705452103415301
2018,-0.03057203711703349,-0.0916441744863159,-0.033212790131584846,0.06998351568485695,-0.004980303943088238,0.07487358894337981,-0.015852904012134794,0.03333758495678474,0.042208617555987704,0.01411750721069649,-0.05397627855068576
2019,0.2816225684817586,0.2011992923923478,0.27168198448892467,0.20995596559571506,0.2654267970632809,0.2517712580436653,0.26268594603913975,0.3117814634356868,0.32624812140616544,0.3082781287119669,0.32784482134246495
2020,0.32349447313991053,0.3792156159551454,0.23640957799735474,0.12465860069328061,0.252338572046495,0.3085424524478615,0.19937244513888852,0.27015283555280667,0.18181312067661626,0.22795932119158002,0.1642539619860066
2021,0.11463251448020317,0.05985172834732477,0.1451931768144734,0.13583668569074248,0.1141382387168699,0.016554587790070352,0.13284351566343178,0.17991898830888609,0.24735739803631973,0.2461487605246544,0.3043122685453623
2022,-0.13736993694070943,-0.18088618195449546,-0.11937372468719987,-0.09181702266418457,-0.12429109821219153,-0.13493896658191717,-0.12868568587100837,-0.14190462029163542,-0.1894107530032787,-0.17200457834157723,-0.18175386127793258
2023,0.21736934473676306,0.22505065955012804,0.17651984125060438,0.0996029826155076,0.18580316817423448,0.20493104392470585,0.16702097891956869,0.26286479981978816,0.31703920068020963,0.16763900231209483,0.2617580723704014
2024,0.10761681324241823,0.23943946449181097,0.08893569158318448,0.07994032255159778,0.10728522465694379,0.15021273719462713,0.08871029622594984,0.1251566259716823,0.06567439549541176,0.15284828858029664,0.267893482258035
2025,0.10208571151904522,0.160962974298972,0.10365572736396045,0.10112987244532556,0.11117299738375097,0.10164131863061576,0.10831651431970779,0.12232649620886016,0.1655552017816475,0.19737033273489746,0.17378921659306612
