Year,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY,Partitioning Selection vs Equal Weight,Partitioning Selection vs Eligible Universe Equal Weight,Partitioning Selection vs SPY,Density Selection vs Equal Weight,Density Selection vs Eligible Universe Equal Weight,Density Selection vs SPY
2020,0.6356260573781201,0.6506580259264532,0.2268733491354571,1.0306559241271733,0.1723522827073387,-0.40875270824266297,-0.4237846767909961,0.05452106642811838,0.39502986674905327,0.37999789820072016,0.8583036414198346
2021,0.08873724077005041,0.1496816670136918,0.19028530515839037,0.155592777574328,0.2682613499500659,0.10154806438833996,0.040603638144698584,-0.07797604479167553,0.06685553680427758,0.005911110560636201,-0.11266857237573791
2022,-0.1066925948252807,-0.10987064060470497,-0.0718771498309363,-0.1257083938807676,-0.1761019305991265,0.03481544499434441,0.03799349077376868,0.1042247807681902,-0.019015799055486893,-0.015837753276062627,0.05039353671835889
2023,0.2233849187965804,0.27075724056178285,0.291474225734889,0.2583482489898212,0.2504139036634163,0.06808930693830861,0.02071698517310616,0.0410603220714727,0.03496333019324083,-0.012408991571961625,0.007934345326404912
2024,0.08721187870857716,0.09823732482274661,0.1853518392678155,0.11588758324152737,0.26720445118730685,0.09813996055923835,0.0871145144450689,-0.08185261191949134,0.028675704532950208,0.017650258418780762,-0.15131686794577948
2025,0.13112414139032214,0.15650800330883263,0.20806205251939502,0.13130536172304907,0.18009018302598756,0.07693791112907289,0.05155404921056239,0.027971869493407464,0.00018122033272693905,-0.02520264158578356,-0.048784821302938486
