strategy,rebalance_date,selected_count,jaccard_vs_previous,effective_holdings
Partitioning Selection,2020-01-01,12,0.0,12.000000000021839
Partitioning Selection,2021-01-01,12,0.5,12.000000000021839
Partitioning Selection,2022-01-01,12,0.4117647058823529,12.000000000021839
Partitioning Selection,2023-01-01,12,0.3333333333333333,12.000000000021839
Partitioning Selection,2024-01-01,12,0.4117647058823529,12.000000000021839
Partitioning Selection,2025-01-01,12,0.5,12.000000000021839
Density Selection,2020-01-01,12,0.0,12.000000000021839
Density Selection,2021-01-01,12,0.4117647058823529,12.000000000021839
Density Selection,2022-01-01,12,0.4117647058823529,12.000000000021839
Density Selection,2023-01-01,12,0.4117647058823529,12.000000000021839
Density Selection,2024-01-01,12,0.5,12.000000000021839
Density Selection,2025-01-01,12,0.6,12.000000000021839
