Year,Equal Weight,Mean-Variance Optimization,Maximum Sharpe Ratio,Minimum Variance,Risk Parity,Kelly Criterion,Core-Satellite,Factor-Based,Black-Litterman,Behavioral Finance (Custom)
2022,8613500.0,9100255.27467084,9264665.773462597,8981103.286741225,7187319.006219787,9632231.217610452,9358540.687556755,8538737.549407113,8368541.877692193,8903065.319416564
2023,9861109.3,10418367.90171599,9161361.775306342,8704117.979481656,7373025.92403113,10013818.776086153,10082024.78421265,9380068.332012115,16263996.17449856,10046898.835971942
2024,9706547.130319567,12216457.271846278,10429767.224924445,8327469.9597955635,6845485.725176382,11732385.455929263,10496304.99039105,9362783.856822642,14046221.628847385,10285415.96880777
2025,10537343.159917267,15887980.484768188,13335942.546335878,9252372.936444119,6791880.105392259,15263084.992559688,11372450.448268125,10706257.514758002,16730167.742549466,11116599.775471546
