Date,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,SPY
2020-01-03,0.011708121825965367,0.004223401250962766,0.010906180036655,0.00706449473388604,0.010082289883167173,0.008089211805966112,0.005479091216573324
2020-01-10,0.013801150168491594,0.021080097774336837,0.013231290053982825,0.011921488158961546,0.013100040405057634,0.013220357210956823,0.01307238177233882
2020-01-17,0.011602473331811414,0.0011538216168205384,0.008728688387156458,0.005186423722790101,0.008175624469340947,0.008892338299639979,0.002417205256662637
2020-01-24,-0.01785135447428432,-0.008425646305644574,-0.017013084811519086,-0.017756034961029288,-0.018038607957621577,-0.01893252379091459,-0.01217880358505025
2020-01-31,0.006091470468856164,0.022140887743077764,0.008363639982712057,0.004736578640913924,0.004749221376268098,-0.0033297111900890686,0.019225908175907618
2020-02-07,0.001945611002753811,0.004960531194845741,0.004152543580061563,0.004454515628688371,0.0032286387134807804,-0.0003527373150791213,0.0092222604156548
2020-02-14,0.015494986435180325,0.007574479069279327,0.012040783360710794,0.01357558828273664,0.013189815048816556,0.017990576775930522,-0.0003260977315794533
2020-02-21,-0.08145889073530488,-0.09368003057765828,-0.08701069748124945,-0.07930828707372228,-0.08125983913550894,-0.06565042034139068,-0.11705024049976492
2020-02-28,0.005749400804286875,0.013428432424117398,0.0073550334405463325,-8.043167896798487e-05,0.00475049000154959,1.0310378936839726e-05,0.016637768015855543
2020-03-06,-0.15592135981522237,-0.15554988752970744,-0.159161275610898,-0.16191685195725836,-0.1580976500391018,-0.15425383266766968,-0.1796929956857785
2020-03-13,-0.04106440636011499,0.010424459119872331,-0.04395902642454952,-0.06095353269668091,-0.04281515555975002,-0.02986534649049888,-0.030631727168026278
2020-03-20,0.07596070543175548,0.0747397650835604,0.08689595977193276,0.09054571036354364,0.07796497080208487,0.04675343359461337,0.0924119730857806
2020-03-27,-0.0049067350506393215,-0.006642608240933989,-0.014839913942104599,-0.027547797489022474,-0.009852895395871863,0.004927484443847829,-0.03587300175480996
2020-04-03,0.08145156411532861,0.08106936997167091,0.09082071231860978,0.11138505085365757,0.08966355053274788,0.08645559963848548,0.10471332690197821
2020-04-10,0.019883021626006858,0.03413786048344725,0.013332547371910586,-0.005476695239047813,0.013076690351159881,0.013151353854804482,0.003235277790140684
