Date,SPY
2020-01-03,10054.791948375383
2020-01-10,10186.226874550479
2020-01-17,10210.855271531218
2020-01-24,10086.50031385799
2020-01-31,10280.417250265962
2020-02-07,10375.226994404971
2020-02-14,10371.842625182246
2020-02-21,9157.817650722176
2020-02-28,9310.18537459887
2020-03-06,7637.210974713798
2020-03-13,7403.270574445151
2020-03-20,8087.418133355489
2020-03-27,7797.300192622553
2020-04-03,8613.781844013356
2020-04-10,8641.64723969342
2020-04-17,8641.027871269895
2020-04-24,8994.00243192281
2020-05-01,8907.307341638785
2020-05-08,8823.397863415976
2020-05-15,9130.235659894808
2020-05-22,9380.722266026887
2020-05-29,9640.500429074955
2020-06-05,9307.652250497333
2020-06-12,9653.503043716599
2020-06-19,9558.218209988167
2020-06-26,9709.979962761643
2020-07-03,9776.84083560943
2020-07-10,9976.186778431933
2020-07-17,10043.668050266346
2020-07-24,10074.767352956433
2020-07-31,10397.260433498135
2020-08-07,10475.01023606801
2020-08-14,10520.10149397642
2020-08-21,10832.64448778078
2020-08-28,10741.2149906121
2020-09-04,10383.581769462431
2020-09-11,10444.222163434339
2020-09-18,10100.736512531199
2020-09-25,10523.499260519462
2020-10-02,10733.9433373735
2020-10-09,10850.095012765087
2020-10-16,10759.857877103925
2020-10-23,10303.059752151654
2020-10-30,10935.644116881127
2020-11-06,11028.380368061507
2020-11-13,11171.068012733245
2020-11-20,11323.439858862343
2020-11-27,11449.269552332686
2020-12-04,11450.516533684542
2020-12-11,11622.559768279969
2020-12-18,11570.503964936966
2020-12-25,11723.52506581951
2021-01-01,11887.207341978885
2021-01-08,11867.137125592582
2021-01-15,12048.379166424935
2021-01-22,11841.111285047282
2021-01-29,12109.521444626886
2021-02-05,12251.252726741164
2021-02-12,12251.566017923778
2021-02-19,11988.485930701037
2021-02-26,11811.949440986522
2021-03-05,12339.680193597482
2021-03-12,12275.397789627672
2021-03-19,12259.60544067241
2021-03-26,12602.825206295565
2021-04-02,12851.666003155811
2021-04-09,13082.889323809439
2021-04-16,12969.63765298325
2021-04-23,13214.7034972056
2021-04-30,13183.558849739082
2021-05-07,12907.034036304494
2021-05-14,13064.325790676374
2021-05-21,13190.479080960338
2021-05-28,13174.120952862786
2021-06-04,13326.383559303209
2021-06-11,13274.788417666226
2021-06-18,13417.011278379545
2021-06-25,13585.235246123744
2021-07-02,13600.699876012979
2021-07-09,13721.579774910615
2021-07-16,13743.994522351031
2021-07-23,13907.797374393189
2021-07-30,13942.831367001785
2021-08-06,14048.565080008306
2021-08-13,13882.862900171542
2021-08-20,14084.859451289069
2021-08-27,14303.584102657302
2021-09-03,14170.70741870431
2021-09-10,14113.582275468922
2021-09-17,14032.460470433527
2021-09-24,13587.910587933178
2021-10-01,13889.344111511897
2021-10-08,14010.930976696618
2021-10-15,14362.074742001125
2021-10-22,14511.841324611632
2021-10-29,14783.828568713798
2021-11-05,14684.403963009816
2021-11-12,14873.117586322309
2021-11-19,14863.935269094995
2021-11-26,14482.710397443901
2021-12-03,14766.094638876806
2021-12-10,14769.261559285284
2021-12-17,14953.011990704761
2021-12-24,15129.677300806867
2021-12-31,14868.493449689433
2022-01-07,14760.142106407113
2022-01-14,14195.192567414055
2022-01-21,13702.373170402709
2022-01-28,14190.428274199481
2022-02-04,14276.85541807732
2022-02-11,13887.3035965725
2022-02-18,13608.957778138963
2022-02-25,13844.405376942397
2022-03-04,13519.353408221636
2022-03-11,14014.718296091733
2022-03-18,14358.498688041676
2022-03-25,14395.152725844584
2022-04-01,14303.677883899472
2022-04-08,13953.712052219078
2022-04-15,13962.318284673096
2022-04-22,13635.6184455543
2022-04-29,13189.392867452201
2022-05-06,12505.08041844575
2022-05-13,12413.285071376316
2022-05-20,12918.473286722372
2022-05-27,13303.504027904384
2022-06-03,12795.123128072335
2022-06-10,11686.261965224092
2022-06-17,12101.984936671415
2022-06-24,12076.056999620681
2022-07-01,12451.862139925151
2022-07-08,12097.184573748315
2022-07-15,12765.568639470208
2022-07-22,12998.608842870384
2022-07-29,13257.893366193213
2022-08-05,13444.197532976248
2022-08-12,13697.079167754373
2022-08-19,13428.83286770778
2022-08-26,12689.702706248427
2022-09-02,12816.461967635609
2022-09-09,12488.036965886227
2022-09-16,12028.273910893215
2022-09-23,11660.884348869135
2022-09-30,11995.488606970366
2022-10-07,11763.097658323633
2022-10-14,11745.098873769755
2022-10-21,12213.411480246248
2022-10-28,11925.095994376452
2022-11-04,12686.223525220435
2022-11-11,12671.761633228189
2022-11-18,12934.681983170318
2022-11-25,13094.107003160667
2022-12-02,12736.0419760718
2022-12-09,12523.584178918976
2022-12-16,12293.388329676756
2022-12-23,12381.218069934663
2022-12-30,12250.121168456599
2023-01-06,12817.775935589016
2023-01-13,12549.126685370047
2023-01-20,13069.312685520716
2023-01-27,13457.762835070882
2023-02-03,13144.871510938485
2023-02-10,13183.297086711515
2023-02-17,12937.249115854189
2023-02-24,12845.221892087093
2023-03-03,12643.409811764594
2023-03-10,12790.329979090942
2023-03-17,12743.851583248976
2023-03-24,13085.160684883416
2023-03-31,13263.106984919701
2023-04-07,13401.836236721614
2023-04-14,13350.297776055168
2023-04-21,13367.479324070184
2023-04-28,13131.511290900893
2023-05-05,13358.404185405341
2023-05-12,13588.536139735319
2023-05-19,13440.082494515118
2023-05-26,13672.483748792856
2023-06-02,13909.42566409232
2023-06-09,14346.02784396
2023-06-16,14201.189414097083
2023-06-23,14253.242125750783
2023-06-30,14303.669639394666
2023-07-07,14625.752555822282
2023-07-14,14710.989399318803
2023-07-21,14721.074489822338
2023-07-28,14602.328887106269
2023-08-04,14507.003861416908
2023-08-11,14194.032153362654
2023-08-18,14213.553079616282
2023-08-25,14651.452738427755
2023-09-01,14472.519158940988
2023-09-08,14651.777365804479
2023-09-15,14084.122598672062
2023-09-22,13990.422770992518
2023-09-29,13859.175407301751
2023-10-06,14158.235544059537
2023-10-13,13922.18815753149
2023-10-20,13469.03101201402
2023-10-27,14063.554620308116
2023-11-03,14164.110784296676
2023-11-10,14699.216246456304
