Rebalance Date,Strategy,DEO,BUD,STZ,BF-B,PRNDY,MNST,CELH,KDP,PEP,KO,META,GOOGL,SNAP,TCEHY,MSFT,PM,BTI,MO,UVV,TPB,NTDOY,EA,TTWO,CCOEY,UBSFY,MCD,CMG,YUM,DPZ,QSR
2020-01-01,Equal Weight,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
2020-01-01,Max Sharpe,0.020780676746913314,3.5356171152362484e-17,1.5693907899023843e-17,0.04349578598040771,0.024965328786452124,0.017830515411990818,0.03346639246246094,0.25,0.007264883662241658,0.013086407091016067,0.0239231567413913,0.029533266733199007,1.6742084957863247e-18,0.03884835876847155,0.06667369773314513,1.7719102405358323e-17,3.3450192996473674e-17,5.1319676433071336e-17,3.381165190075856e-17,0.05568643761491565,0.03800384724440927,0.01080837626330443,0.056919586524342314,0.08625871971926834,0.037726488953805884,0.02796234871447131,0.05099129805632756,0.028332121235504677,0.03258994743521863,0.004852358120742418
2020-01-01,Inverse Volatility,0.033623825401846844,0.03358972765927488,0.03359948598985453,0.03359097965836202,0.033617700767247405,0.033578102959382274,0.033360560899646494,0.026968150488614097,0.03362067936976819,0.033623673818157535,0.0335692227039153,0.03358608798415619,0.033291956871157345,0.03354534093607099,0.03360374753186091,0.03357661471516537,0.03356555084813768,0.03358296293253726,0.03353548628608043,0.033449655553617536,0.03354076569963829,0.033528178386971676,0.033537168955688486,0.03348314211371966,0.033512434342596716,0.033616769290869146,0.033523336125395625,0.03361326483277591,0.03356128388551627,0.033604142991928786
2020-01-01,Minimum Variance,0.03406737668788772,0.03375154767567027,0.03399218392285603,0.03379353571868594,0.03415567171611743,0.03368811295729514,0.033044316356167634,0.02201578929496294,0.033964423082644475,0.03406909038102371,0.033444963459471254,0.0334528880150584,0.03382399657974854,0.033264536183295154,0.033590928224847175,0.033880441556361926,0.03372759396658816,0.03391703525733301,0.03431720067808725,0.034171073975693814,0.03356593924366709,0.033279644506199614,0.03316338768163651,0.03347291775415608,0.033089486625159946,0.03406496889854887,0.03367106390367132,0.03388601266281158,0.033735267188337456,0.03393860584576089
2020-01-01,Risk Parity,0.03371546696731223,0.03356050655169688,0.03368294821168096,0.03357389044509317,0.03376336197335071,0.03353177128695061,0.03321066599700619,0.027127892035539596,0.03365641825167428,0.03371505953489871,0.033409033281293875,0.03341667000915598,0.03359910785705267,0.033327445541895595,0.033483029858864005,0.033633388679788545,0.033554556822410736,0.03364739628933909,0.03385687423066956,0.033771298867060935,0.03346013072034188,0.033328630193167556,0.03326867584021977,0.03339440433818693,0.03322813202115544,0.03371974543239947,0.03352475818143225,0.03362779313962878,0.033555009084478615,0.03365593835576029
2020-01-01,Maximum Diversification,0.03380929095218818,0.03353109092995327,0.03376884638037607,0.03355544198836757,0.03391250602655717,0.03348518059949237,0.03306246594010313,0.027291648966795107,0.03369166370318416,0.03380837204265098,0.03324655497240226,0.03324492720991101,0.03390674948084141,0.033107271900480365,0.0333606685676082,0.03369016313193098,0.03354243945798538,0.03371192845933182,0.03418114820671608,0.03409437677845701,0.03337783205659568,0.03312658441072616,0.03299683577577462,0.03330227366369933,0.03293851380575648,0.033825760921008884,0.033526962581215784,0.03364297639146517,0.033550113409132054,0.03370941129017134
2021-01-01,Equal Weight,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
2021-01-01,Max Sharpe,0.00819129858909823,0.0,0.007431558003031771,0.030955443126664293,0.01583187168238328,0.02405639468697138,0.14380594227636373,0.14819178740068872,0.005724431167982339,0.0056531823017455084,0.023428709956268588,0.02494297892952912,0.05962342754332011,0.0370172381200832,0.05054451016593797,0.0,0.0,0.0,0.0,0.05752043986048432,0.041488591979908965,0.01670030587689283,0.054213604128839396,0.08793347173615967,0.033989532751134206,0.01680685574867947,0.05095300877206653,0.01884543712701482,0.029115654621473044,0.007034323446336556
2021-01-01,Inverse Volatility,0.033630035001116144,0.03351866820835906,0.03355904415102907,0.03359775504980767,0.03361907192590245,0.033602234011553364,0.03311989870999031,0.027375460843541033,0.033652340826669354,0.033641424556537645,0.03357511400090817,0.03360669928788026,0.03315162952345491,0.033555705054048535,0.03361726475240388,0.033595376090329386,0.03358079601039158,0.033597262033179975,0.03355175123848796,0.03339956878284505,0.0335524558724823,0.033551785056956863,0.033558747858985646,0.03347270893081464,0.03352834550717267,0.03363441985662184,0.03350130379423378,0.03359355511574768,0.033571657930090315,0.033487920018902245
2021-01-01,Minimum Variance,0.03388539358180871,0.032732082759117646,0.032877817939778335,0.033910022625133804,0.03376004800855653,0.033624163127961994,0.03209943565547416,0.022828452111769898,0.034286697346095844,0.0340335408281478,0.033332717436808386,0.03349869159922312,0.03455974870518654,0.03361412137738601,0.03357659129570513,0.0339404595840741,0.03394895640504558,0.033961120335153534,0.03458990443349232,0.035077479650879165,0.03413522898229394,0.03355608988415772,0.033754738129667596,0.03381333830435746,0.03324959964289395,0.03399609166031004,0.03292237197116829,0.03334779770700836,0.03447914861191567,0.03260815030008688
